date_withdrawl,resettlement_registration_area_code,resettlement_registration_area_admin_center,assembly_camp,availability_camp
16.04.1940,Wo I/1,Rozyszcze,Oderberg,Kirschberg
07.05.1940,Wo I/2,Luck,Oderberg,Kirschberg
15.06.1940,Wo I/4,Marianowka,Oderberg,Zgierz
nach WoI/2,Wo I/5,Stanislawowka,Oderberg,Tuschen
26.04.1940,Wo I/6,Bryszcze,Pirna,Kirschberg
07.05.1940,Wo I/7,Helenow,Pirna,Zgierz;Kloster
07.06.1940,Wo I/8,Gnidawa,Pirna,Grotniki
07.06.1940,Wo I/9,Podhajce,Tetschen,Kirschberg
07.06.1940,Wo I/10,Boszkiewicze,Tetschen,Waldhorst
19.05.1940,Wo I/11,Zielona,Sonderk. Portmann,Zgierz;Rogy
15.06.1940,Wo I/12,Bludow,Pirna,Zdunska-Wola
07.06.1940,Wo I/13,Torczyn,Pirna,Kirschberg
30.05.1940,Wo I/14,Wolka,Oderberg,Zdunska-Wola;Kloster
19.05.1940,Wo I/15,Alexandrowka,Oderberg,Tuschin
26.04.1940,Wo I/16,Krzemieniec,Oderberg,Zgierz;Waldfrieden
26.04.1940,Wo I/17,Kamien-Koszyrsk,Rumburg,Zgierz;Dombrowska
20.06.1940,Wo II/1,Zademle,Oderberg,Waldhorst
15.06.1940,Wo II/2,Derazno,Oderberg,Waldhorst
19.05.1940,Wo II/3,Kostopol,Pirna,Waldhorst
30.05.1940,Wo II/4,Zuszyn,Tetschen,Tuschin
16.04.1940,Wo II/5,Maczulki,Pirna,Kirschberg
02.04.1940,Wo II/6,Topcza,Oderberg,Kirschberg
20.06.1940,Wo III/1,Swiezowska,Frankfurt,Waldhorst
nach Wo 1/7,Wo III/2,Wanda-Wola,Pirna,Tuschin
20.06.1940,Wo III/3,Janow,Pirna,Zdunska-Wola